nama,jarak_km,harga,ac,rating
Kos Melati,1.8,600,tidak,4.3
Kos Mawar,0.6,1250,ya,3.7
Kos Anggrek,0.6,1200,ya,3.1
Kos Kenanga,2.3,500,ya,3.2
Kos Dahlia,2.3,1300,ya,4.9
Kos Flamboyan,3.3,1300,ya,4.2
Kos Cemara,2.2,750,ya,4.1
Kos Pinus,0.9,1050,ya,4.1
Kos Palem,3.0,1250,tidak,3.4
Kos Bambu,3.0,1400,ya,3.7
Kos Sakura,2.9,500,tidak,3.1
Kos Teratai,1.3,1450,tidak,3.9
Kos Kamboja,1.8,1300,tidak,3.7
Kos Seruni,1.5,650,tidak,4.6
Kos Lestari,0.7,850,tidak,4.0
Kos Harmoni,1.9,1100,tidak,4.2
Kos Damai,0.6,1200,tidak,3.3
Kos Sejahtera,1.9,1150,tidak,3.1
Kos Bahagia,3.4,1250,tidak,4.6
Kos Sentosa,4.1,900,tidak,3.7
Kos Mutiara,2.6,1100,ya,4.7
Kos Permata,4.7,1150,tidak,4.3
Kos Berlian,0.6,1500,tidak,4.3
Kos Zamrud,5.0,1100,tidak,4.4
Kos Safir,4.5,950,ya,4.9
Kos Amanah,2.0,1350,ya,4.0
Kos Barokah,1.3,850,ya,4.5
Kos Firdaus,2.2,1150,ya,3.3
Kos Griya,2.2,800,ya,4.6
Kos Asri,4.4,800,tidak,3.8
